region	chrom	start	end	span	n_sSNV	cn	tree_shape	n_nodes	n_nested	n_sibling	max_depth	has_cycle	n_populations
chr17:65398642-65445393	chr17	65398642	65445393	46751	4	loh	linear_nested	4	2	0	3	False	0
chr17:69443083-69502907	chr17	69443083	69502907	59824	4	gain	full_tree	4	1	1	2	False	0
chr17:70314452-70408116	chr17	70314452	70408116	93664	4	gain	full_tree	4	1	1	2	False	0
chr17:74561759-74658053	chr17	74561759	74658053	96294	4	gain	sibling_only	4	0	2	1	False	0
chr18:21686363-21713070	chr18	21686363	21713070	26707	4	gain	linear_nested	4	2	0	2	False	1
chr18:41804758-41832969	chr18	41804758	41832969	28211	4	gain	linear_nested	4	2	0	3	False	1
chr18:57311795-57375781	chr18	57311795	57375781	63986	4	gain	full_tree	4	1	1	2	False	0
chr19:9930725-9988821	chr19	9930725	9988821	58096	4	loh	full_tree	4	1	1	2	False	0
chr19:27511487-27541658	chr19	27511487	27541658	30171	4	gain	full_tree	4	1	1	2	False	1
chr19:28291366-28325580	chr19	28291366	28325580	34214	4	gain	linear_nested	4	2	0	2	False	0
chr19:41619241-41674851	chr19	41619241	41674851	55610	4	loh	linear_nested	4	2	0	2	False	0
chr19:56594177-56656869	chr19	56594177	56656869	62692	4	loh	full_tree	3	1	1	2	False	0
chr20:30607521-30636498	chr20	30607521	30636498	28977	4	gain	full_tree	4	1	1	2	False	2
chr20:33261367-33312028	chr20	33261367	33312028	50661	4	gain	full_tree	4	1	1	2	False	0
chr20:46952849-47003941	chr20	46952849	47003941	51092	4	gain	full_tree	3	1	1	2	False	0
chr20:50504078-50573756	chr20	50504078	50573756	69678	4	gain	full_tree	4	1	1	2	False	0
chr20:63072506-63109413	chr20	63072506	63109413	36907	4	gain	linear_nested	4	2	0	2	False	1
chr21:29187018-29247324	chr21	29187018	29247324	60306	4	neutral	linear_nested	4	2	0	2	False	0
chr22:45322977-45402752	chr22	45322977	45402752	79775	4	gain	full_tree	4	1	1	2	False	0
chr22:46256398-46264088	chr22	46256398	46264088	7690	4	gain	sibling_only	3	0	2	1	False	3
chr22:50243801-50295563	chr22	50243801	50295563	51762	4	loh	sibling_only	3	0	2	1	False	0
chr1:11476972-11511598	chr1	11476972	11511598	34626	3	gain	linear_nested	3	2	0	2	False	1
chr1:12061318-12072734	chr1	12061318	12072734	11416	3	gain	linear_nested	3	2	0	3	False	3
chr1:12724814-12732374	chr1	12724814	12732374	7560	3	gain	linear_nested	3	2	0	3	False	2
chr1:17421003-17441137	chr1	17421003	17441137	20134	3	gain	linear_nested	3	2	0	3	False	1
chr1:24463672-24515927	chr1	24463672	24515927	52255	3	gain	linear_nested	3	2	0	2	False	0
chr1:38736335-38763132	chr1	38736335	38763132	26797	3	loh	linear_nested	3	2	0	2	False	0
chr1:53135760-53164656	chr1	53135760	53164656	28896	3	loh	sibling_only	3	0	2	1	False	0
chr1:53414848-53440268	chr1	53414848	53440268	25420	3	loh	full_tree	3	1	1	2	False	0
chr1:84988382-85011812	chr1	84988382	85011812	23430	3	gain	linear_nested	3	2	0	3	False	3
chr1:86786785-86808959	chr1	86786785	86808959	22174	3	gain	sibling_only	3	0	2	1	False	4
chr1:101886054-101919048	chr1	101886054	101919048	32994	3	loh	sibling_only	3	0	2	1	False	1
chr1:147709001-147757950	chr1	147709001	147757950	48949	3	gain	linear_nested	3	2	0	2	False	0
chr1:164531961-164550744	chr1	164531961	164550744	18783	3	gain	linear_nested	3	2	0	3	False	2
chr1:187618787-187649045	chr1	187618787	187649045	30258	3	gain	full_tree	3	1	1	2	False	0
chr1:196154619-196172653	chr1	196154619	196172653	18034	3	gain	inconsistent	2	2	0	0	True	2
chr1:207579717-207615583	chr1	207579717	207615583	35866	3	gain	linear_nested	3	2	0	2	False	0
chr2:5556896-5567059	chr2	5556896	5567059	10163	3	gain	linear_nested	3	2	0	3	False	2
chr2:18333859-18349559	chr2	18333859	18349559	15700	3	loh	linear_nested	3	2	0	3	False	2
chr2:26022330-26056252	chr2	26022330	26056252	33922	3	loh	sibling_only	3	0	2	1	False	0
chr2:28328086-28357783	chr2	28328086	28357783	29697	3	loh	full_tree	3	1	1	2	False	1
chr2:111060193-111076870	chr2	111060193	111076870	16677	3	loss	full_tree	3	1	1	2	False	1
chr2:128135634-128143485	chr2	128135634	128143485	7851	3	loh	linear_nested	3	2	0	2	False	2
chr2:129755213-129777864	chr2	129755213	129777864	22651	3	loh	linear_nested	3	2	0	3	False	1
chr2:135551669-135556814	chr2	135551669	135556814	5145	3	neutral	linear_nested	3	2	0	2	False	1
chr2:180482304-180494525	chr2	180482304	180494525	12221	3	gain	linear_nested	3	2	0	3	False	2
chr2:183481689-183502710	chr2	183481689	183502710	21021	3	gain	full_tree	2	1	1	2	False	2
chr2:207060780-207088424	chr2	207060780	207088424	27644	3	neutral	linear_nested	3	2	0	2	False	1
chr2:214477930-214500102	chr2	214477930	214500102	22172	3	neutral	full_tree	3	1	1	2	False	1
chr3:1842434-1878911	chr3	1842434	1878911	36477	3	gain	linear_nested	3	2	0	2	False	0
chr3:21739321-21754699	chr3	21739321	21754699	15378	3	gain	linear_nested	3	2	0	3	False	2
chr3:45585799-45605844	chr3	45585799	45605844	20045	3	gain	linear_nested	3	2	0	3	False	2
chr3:67835999-67878020	chr3	67835999	67878020	42021	3	loh	linear_nested	3	2	0	2	False	0
chr3:71910173-71920849	chr3	71910173	71920849	10676	3	loh	linear_nested	3	2	0	3	False	2
chr3:77554784-77555786	chr3	77554784	77555786	1002	3	loh	linear_nested	3	2	0	3	False	2
chr3:79912188-79946888	chr3	79912188	79946888	34700	3	neutral	linear_nested	3	2	0	2	False	0
chr3:81913348-81917506	chr3	81913348	81917506	4158	3	loh	full_tree	3	1	1	2	False	2
chr3:98118002-98150823	chr3	98118002	98150823	32821	3	loh	sibling_only	3	0	2	1	False	0
chr3:105252353-105279082	chr3	105252353	105279082	26729	3	loh	full_tree	3	1	1	2	False	0
chr3:126650545-126668351	chr3	126650545	126668351	17806	3	loh	full_tree	3	1	1	2	False	2
chr3:128677864-128694547	chr3	128677864	128694547	16683	3	loh	linear_nested	3	2	0	3	False	3
chr3:135112071-135147392	chr3	135112071	135147392	35321	3	gain	full_tree	3	1	1	2	False	1
chr3:135261392-135312089	chr3	135261392	135312089	50697	3	gain	sibling_only	3	0	2	1	False	0
chr3:141078471-141100971	chr3	141078471	141100971	22500	3	gain	linear_nested	3	2	0	2	False	3
chr3:142563779-142589615	chr3	142563779	142589615	25836	3	gain	linear_nested	3	2	0	3	False	3
chr3:149579848-149610662	chr3	149579848	149610662	30814	3	gain	full_tree	3	1	1	2	False	2
chr3:152538015-152548574	chr3	152538015	152548574	10559	3	gain	full_tree	3	1	1	2	False	3
chr3:154787889-154830916	chr3	154787889	154830916	43027	3	gain	sibling_only	3	0	2	1	False	0
chr3:155430645-155431842	chr3	155430645	155431842	1197	3	gain	linear_nested	3	2	0	2	False	3
chr3:156659211-156690496	chr3	156659211	156690496	31285	3	gain	sibling_only	3	0	2	1	False	2
chr3:191491874-191548052	chr3	191491874	191548052	56178	3	gain	linear_nested	3	2	0	2	False	0
chr3:196748580-196773524	chr3	196748580	196773524	24944	3	loh	full_tree	3	1	1	2	False	0
chr4:10325662-10350788	chr4	10325662	10350788	25126	3	loh	sibling_only	3	0	2	1	False	0
chr4:16051822-16053303	chr4	16051822	16053303	1481	3	loh	sibling_only	3	0	2	1	False	1
chr4:18399248-18418616	chr4	18399248	18418616	19368	3	loss	linear_nested	3	2	0	3	False	1
chr4:21752616-21762659	chr4	21752616	21762659	10043	3	loss	full_tree	2	1	1	2	False	1
chr4:110313666-110316104	chr4	110313666	110316104	2438	3	gain	sibling_only	3	0	2	1	False	3
chr4:112278288-112336099	chr4	112278288	112336099	57811	3	gain	sibling_only	3	0	2	1	False	0
chr4:114193199-114234633	chr4	114193199	114234633	41434	3	gain	sibling_only	3	0	2	1	False	0
chr4:130839251-130874852	chr4	130839251	130874852	35601	3	gain	sibling_only	3	0	2	1	False	0
chr4:135618646-135672823	chr4	135618646	135672823	54177	3	gain	sibling_only	3	0	2	1	False	0
chr4:145261686-145262848	chr4	145261686	145262848	1162	3	loh	full_tree	3	1	1	2	False	2
chr4:154864074-154898125	chr4	154864074	154898125	34051	3	loh	sibling_only	3	0	2	1	False	0
chr4:155318080-155335464	chr4	155318080	155335464	17384	3	loh	linear_nested	3	2	0	3	False	1
chr4:155935246-155941309	chr4	155935246	155941309	6063	3	loh	inconsistent	2	2	0	0	True	2
chr4:156441706-156448641	chr4	156441706	156448641	6935	3	loh	full_tree	3	1	1	2	False	2
chr4:162376577-162392265	chr4	162376577	162392265	15688	3	loh	linear_nested	3	2	0	2	False	2
chr4:172007146-172040271	chr4	172007146	172040271	33125	3	loh	full_tree	3	1	1	2	False	0
chr4:190108740-190112507	chr4	190108740	190112507	3767	3	neutral	linear_nested	3	2	0	2	False	2
chr5:2873634-2915740	chr5	2873634	2915740	42106	3	gain	full_tree	3	1	1	2	False	1
chr5:14567391-14573808	chr5	14567391	14573808	6417	3	gain	linear_nested	3	2	0	3	False	2
chr5:28905557-28943214	chr5	28905557	28943214	37657	3	gain	sibling_only	3	0	2	1	False	0
chr5:37368238-37430125	chr5	37368238	37430125	61887	3	gain	linear_nested	3	2	0	2	False	0
chr5:50873519-50895438	chr5	50873519	50895438	21919	3	loh	linear_nested	3	2	0	3	False	1
chr5:60536738-60553511	chr5	60536738	60553511	16773	3	loh	linear_nested	3	2	0	2	False	2
chr5:90812916-90835075	chr5	90812916	90835075	22159	3	loh	sibling_only	3	0	2	1	False	1
chr5:139095924-139109458	chr5	139095924	139109458	13534	3	loh	linear_nested	3	2	0	3	False	2
chr5:139766114-139802269	chr5	139766114	139802269	36155	3	gain	full_tree	3	1	1	2	False	1
chr5:175946003-175946509	chr5	175946003	175946509	506	3	loh	linear_nested	3	2	0	3	False	2
chr5:178839731-178862561	chr5	178839731	178862561	22830	3	loh	linear_nested	3	2	0	3	False	2
chr6:63197590-63217473	chr6	63197590	63217473	19883	3	gain	full_tree	2	1	1	2	False	2
chr6:71468250-71500665	chr6	71468250	71500665	32415	3	gain	sibling_only	3	0	2	1	False	0
chr6:78842555-78881752	chr6	78842555	78881752	39197	3	gain	sibling_only	3	0	2	1	False	0
chr6:86815808-86829547	chr6	86815808	86829547	13739	3	loss	full_tree	3	1	1	2	False	0
chr6:112222431-112245184	chr6	112222431	112245184	22753	3	loh	linear_nested	3	2	0	3	False	2
chr6:114663503-114717631	chr6	114663503	114717631	54128	3	loh	full_tree	3	1	1	2	False	0
chr6:116963932-117002563	chr6	116963932	117002563	38631	3	gain	sibling_only	3	0	2	1	False	0
chr6:119014825-119059040	chr6	119014825	119059040	44215	3	gain	full_tree	3	1	1	2	False	0
chr6:119551983-119569624	chr6	119551983	119569624	17641	3	gain	sibling_only	3	0	2	1	False	3
chr6:119899860-119925876	chr6	119899860	119925876	26016	3	gain	sibling_only	3	0	2	1	False	2
chr6:121715978-121761165	chr6	121715978	121761165	45187	3	gain	sibling_only	3	0	2	1	False	0
chr6:133307510-133319050	chr6	133307510	133319050	11540	3	gain	linear_nested	3	2	0	2	False	2
chr6:136000853-136055943	chr6	136000853	136055943	55090	3	gain	full_tree	3	1	1	2	False	0
chr6:150337997-150344815	chr6	150337997	150344815	6818	3	gain	linear_nested	3	2	0	3	False	0
chr6:162499407-162508092	chr6	162499407	162508092	8685	3	loh	linear_nested	3	2	0	2	False	2
chr7:4145951-4178969	chr7	4145951	4178969	33018	3	gain	linear_nested	3	2	0	2	False	1
chr7:7666424-7695513	chr7	7666424	7695513	29089	3	gain	sibling_only	3	0	2	1	False	1
chr7:8493168-8532399	chr7	8493168	8532399	39231	3	gain	linear_nested	3	2	0	2	False	0
chr7:15458371-15478582	chr7	15458371	15478582	20211	3	gain	linear_nested	3	2	0	2	False	3
chr7:19005794-19027180	chr7	19005794	19027180	21386	3	gain	sibling_only	3	0	2	1	False	2
chr7:36599703-36632996	chr7	36599703	36632996	33293	3	gain	full_tree	3	1	1	2	False	0
chr7:69967595-69996675	chr7	69967595	69996675	29080	3	gain	linear_nested	3	2	0	2	False	1
chr7:76675150-76698714	chr7	76675150	76698714	23564	3	gain	full_tree	3	1	1	2	False	3
chr7:76914890-76948110	chr7	76914890	76948110	33220	3	gain	full_tree	3	1	1	2	False	1
chr7:77459427-77511074	chr7	77459427	77511074	51647	3	gain	sibling_only	3	0	2	1	False	0
chr7:135298697-135344147	chr7	135298697	135344147	45450	3	gain	full_tree	3	1	1	2	False	0
chr7:142622240-142654494	chr7	142622240	142654494	32254	3	gain	full_tree	2	1	1	2	False	1
chr7:152435965-152510325	chr7	152435965	152510325	74360	3	gain	sibling_only	3	0	2	1	False	0
chr7:153504238-153565358	chr7	153504238	153565358	61120	3	gain	sibling_only	3	0	2	1	False	0
chr7:155220429-155272684	chr7	155220429	155272684	52255	3	gain	linear_nested	3	2	0	2	False	0
chr8:6746018-6757635	chr8	6746018	6757635	11617	3	loh	linear_nested	3	2	0	2	False	1
chr8:19210340-19215143	chr8	19210340	19215143	4803	3	loh	sibling_only	3	0	2	1	False	4
chr8:24966780-24992896	chr8	24966780	24992896	26116	3	loh	linear_nested	3	2	0	3	False	1
chr8:54168560-54218383	chr8	54168560	54218383	49823	3	loh	linear_nested	3	2	0	2	False	0
chr8:56258063-56306359	chr8	56258063	56306359	48296	3	loh	sibling_only	3	0	2	1	False	0
chr8:67801200-67817792	chr8	67801200	67817792	16592	3	gain	linear_nested	3	2	0	3	False	2
chr8:69466613-69481340	chr8	69466613	69481340	14727	3	gain	full_tree	3	1	1	2	False	3
chr8:79564238-79596580	chr8	79564238	79596580	32342	3	gain	sibling_only	3	0	2	1	False	0
chr8:82418435-82457244	chr8	82418435	82457244	38809	3	gain	sibling_only	3	0	2	1	False	1
chr8:89425241-89454862	chr8	89425241	89454862	29621	3	loh	full_tree	3	1	1	2	False	1
chr8:97888470-97929315	chr8	97888470	97929315	40845	3	loh	full_tree	3	1	1	2	False	0
chr8:101421803-101459134	chr8	101421803	101459134	37331	3	gain	sibling_only	3	0	2	1	False	0
chr8:109729434-109768464	chr8	109729434	109768464	39030	3	gain	sibling_only	3	0	2	1	False	0
chr8:125706264-125760540	chr8	125706264	125760540	54276	3	gain	sibling_only	3	0	2	1	False	0
chr8:128150737-128210489	chr8	128150737	128210489	59752	3	gain	full_tree	3	1	1	2	False	0
chr8:132299819-132345925	chr8	132299819	132345925	46106	3	gain	sibling_only	3	0	2	1	False	0
chr8:133416475-133459437	chr8	133416475	133459437	42962	3	gain	full_tree	3	1	1	2	False	0
chr8:137673820-137689627	chr8	137673820	137689627	15807	3	gain	sibling_only	3	0	2	1	False	4
chr8:141536910-141605210	chr8	141536910	141605210	68300	3	gain	sibling_only	3	0	2	1	False	0
chr9:1026593-1032521	chr9	1026593	1032521	5928	3	gain	linear_nested	3	2	0	3	False	3
chr9:30374811-30375868	chr9	30374811	30375868	1057	3	loh	linear_nested	3	2	0	3	False	3
chr9:71198219-71230037	chr9	71198219	71230037	31818	3	gain	linear_nested	3	2	0	2	False	1
chr9:84692444-84692452	chr9	84692444	84692452	8	3	gain	linear_nested	3	2	0	2	False	2
chr9:101369849-101399290	chr9	101369849	101399290	29441	3	gain	full_tree	2	1	1	2	False	1
chr9:116218945-116254388	chr9	116218945	116254388	35443	3	loh	linear_nested	3	2	0	2	False	0
chr10:11815399-11823264	chr10	11815399	11823264	7865	3	loh	full_tree	3	1	1	2	False	2
chr10:17370596-17394221	chr10	17370596	17394221	23625	3	loh	linear_nested	3	2	0	3	False	2
chr10:20139139-20172416	chr10	20139139	20172416	33277	3	loh	linear_nested	3	2	0	2	False	1
chr10:21724601-21751390	chr10	21724601	21751390	26789	3	loh	linear_nested	3	2	0	3	False	1
chr10:63670920-63704033	chr10	63670920	63704033	33113	3	loh	full_tree	3	1	1	2	False	1
chr10:82896261-82931609	chr10	82896261	82931609	35348	3	loh	sibling_only	3	0	2	1	False	0
chr10:92050427-92089291	chr10	92050427	92089291	38864	3	loh	linear_nested	3	2	0	2	False	1
chr10:111030565-111056521	chr10	111030565	111056521	25956	3	loh	linear_nested	3	2	0	2	False	2
chr10:121588428-121605733	chr10	121588428	121605733	17305	3	gain	full_tree	3	1	1	2	False	3
chr10:127758467-127803318	chr10	127758467	127803318	44851	3	gain	full_tree	3	1	1	2	False	0
chr10:130687125-130698089	chr10	130687125	130698089	10964	3	gain	full_tree	3	1	1	2	False	0
chr10:132110627-132163377	chr10	132110627	132163377	52750	3	loh	full_tree	3	1	1	2	False	0
chr11:5157112-5164579	chr11	5157112	5164579	7467	3	loh	linear_nested	3	2	0	2	False	1
chr11:6687336-6712684	chr11	6687336	6712684	25348	3	loh	linear_nested	3	2	0	2	False	1
chr11:24731614-24740365	chr11	24731614	24740365	8751	3	loh	full_tree	3	1	1	2	False	2
chr11:28772879-28819477	chr11	28772879	28819477	46598	3	loh	full_tree	3	1	1	2	False	0
chr11:48865480-48888347	chr11	48865480	48888347	22867	3	loh	inconsistent	2	2	0	0	True	1
chr11:62042125-62043946	chr11	62042125	62043946	1821	3	gain	linear_nested	3	2	0	2	False	3
chr11:93081362-93116686	chr11	93081362	93116686	35324	3	loh	sibling_only	3	0	2	1	False	0
chr11:100919235-100945997	chr11	100919235	100945997	26762	3	loh	linear_nested	3	2	0	2	False	0
chr11:103894538-103906824	chr11	103894538	103906824	12286	3	loh	sibling_only	3	0	2	1	False	3
chr11:108474713-108498993	chr11	108474713	108498993	24280	3	loh	full_tree	3	1	1	2	False	1
chr11:115845053-115863337	chr11	115845053	115863337	18284	3	loh	linear_nested	3	2	0	2	False	0
chr12:1573245-1621817	chr12	1573245	1621817	48572	3	gain	sibling_only	3	0	2	1	False	0
chr12:12084415-12122152	chr12	12084415	12122152	37737	3	gain	full_tree	3	1	1	2	False	1
chr12:14233457-14249618	chr12	14233457	14249618	16161	3	gain	linear_nested	3	2	0	2	False	3
chr12:20173838-20198877	chr12	20173838	20198877	25039	3	gain	sibling_only	3	0	2	1	False	3
chr12:21783337-21810232	chr12	21783337	21810232	26895	3	gain	sibling_only	3	0	2	1	False	1
chr12:44198568-44199104	chr12	44198568	44199104	536	3	loh	inconsistent	2	2	0	0	True	1
chr12:70906645-70940936	chr12	70906645	70940936	34291	3	loh	full_tree	3	1	1	2	False	1
chr12:94841506-94862541	chr12	94841506	94862541	21035	3	loh	full_tree	3	1	1	2	False	1
chr12:96816861-96852447	chr12	96816861	96852447	35586	3	loh	full_tree	3	1	1	2	False	0
chr12:99005552-99021011	chr12	99005552	99021011	15459	3	loh	linear_nested	3	2	0	3	False	1
chr12:111093584-111129988	chr12	111093584	111129988	36404	3	loh	linear_nested	3	2	0	2	False	0
chr12:111729485-111766198	chr12	111729485	111766198	36713	3	loh	linear_nested	3	2	0	2	False	0
chr12:121354052-121381685	chr12	121354052	121381685	27633	3	loh	full_tree	3	1	1	2	False	0
chr13:37319390-37357528	chr13	37319390	37357528	38138	3	gain	full_tree	3	1	1	2	False	1
chr13:63520492-63559139	chr13	63520492	63559139	38647	3	loh	full_tree	3	1	1	2	False	0
chr13:68162169-68173006	chr13	68162169	68173006	10837	3	loh	full_tree	3	1	1	2	False	2
chr13:103054961-103079386	chr13	103054961	103079386	24425	3	loh	linear_nested	3	2	0	2	False	2
chr14:20557431-20565591	chr14	20557431	20565591	8160	3	gain	linear_nested	3	2	0	2	False	3
chr14:21806249-21830600	chr14	21806249	21830600	24351	3	gain	linear_nested	3	2	0	3	False	2
chr14:61993007-62026893	chr14	61993007	62026893	33886	3	loh	linear_nested	3	2	0	2	False	0
chr14:70861465-70881360	chr14	70861465	70881360	19895	3	loh	full_tree	3	1	1	2	False	2
chr14:73880672-73900269	chr14	73880672	73900269	19597	3	loh	linear_nested	3	2	0	2	False	2
chr14:80304909-80327566	chr14	80304909	80327566	22657	3	gain	linear_nested	3	2	0	2	False	1
chr14:97691300-97692510	chr14	97691300	97692510	1210	3	gain	full_tree	3	1	1	2	False	4
chr14:97837559-97866446	chr14	97837559	97866446	28887	3	gain	linear_nested	3	2	0	3	False	1
chr14:102523419-102546868	chr14	102523419	102546868	23449	3	gain	full_tree	3	1	1	2	False	1
chr15:25188767-25206816	chr15	25188767	25206816	18049	3	loh	sibling_only	3	0	2	1	False	1
chr15:44671249-44700498	chr15	44671249	44700498	29249	3	loh	linear_nested	3	2	0	3	False	1
chr15:61785234-61800206	chr15	61785234	61800206	14972	3	gain	linear_nested	3	2	0	2	False	2
chr15:66946616-66977383	chr15	66946616	66977383	30767	3	gain	linear_nested	3	2	0	2	False	0
chr15:73660167-73669646	chr15	73660167	73669646	9479	3	gain	linear_nested	3	2	0	2	False	4
chr15:77794563-77813890	chr15	77794563	77813890	19327	3	gain	sibling_only	3	0	2	1	False	2
chr15:81521907-81541584	chr15	81521907	81541584	19677	3	gain	linear_nested	3	2	0	2	False	2
chr15:98396959-98439965	chr15	98396959	98439965	43006	3	gain	full_tree	3	1	1	2	False	0
chr17:925986-935246	chr17	925986	935246	9260	3	gain	linear_nested	3	2	0	2	False	3
chr17:4424731-4464586	chr17	4424731	4464586	39855	3	gain	sibling_only	3	0	2	1	False	0
chr17:7807669-7813292	chr17	7807669	7813292	5623	3	gain	linear_nested	3	2	0	2	False	3
chr17:31671779-31725356	chr17	31671779	31725356	53577	3	loh	sibling_only	3	0	2	1	False	0
chr17:34213222-34255867	chr17	34213222	34255867	42645	3	loh	full_tree	3	1	1	2	False	0
chr17:71507165-71547911	chr17	71507165	71547911	40746	3	gain	sibling_only	3	0	2	1	False	0
chr17:73637466-73674715	chr17	73637466	73674715	37249	3	gain	sibling_only	3	0	2	1	False	0
chr17:81634101-81677282	chr17	81634101	81677282	43181	3	gain	sibling_only	3	0	2	1	False	1
chr18:3281734-3299083	chr18	3281734	3299083	17349	3	loh	linear_nested	3	2	0	2	False	2
chr18:7157036-7179015	chr18	7157036	7179015	21979	3	loh	inconsistent	2	2	0	0	True	0
chr18:34784478-34808104	chr18	34784478	34808104	23626	3	gain	linear_nested	3	2	0	3	False	3
chr18:74303771-74340076	chr18	74303771	74340076	36305	3	loss	sibling_only	3	0	2	1	False	0
chr18:75308977-75317317	chr18	75308977	75317317	8340	3	loss	full_tree	2	1	1	2	False	1
chr19:14915374-14931455	chr19	14915374	14931455	16081	3	gain	linear_nested	3	2	0	2	False	2
chr19:18282420-18292426	chr19	18282420	18292426	10006	3	gain	full_tree	3	1	1	2	False	3
chr19:22017345-22050745	chr19	22017345	22050745	33400	3	gain	linear_nested	3	2	0	2	False	0
chr19:50788427-50827455	chr19	50788427	50827455	39028	3	loh	full_tree	3	1	1	2	False	0
chr19:57565644-57582974	chr19	57565644	57582974	17330	3	loh	sibling_only	3	0	2	1	False	2
chr20:38000259-38003146	chr20	38000259	38003146	2887	3	gain	full_tree	3	1	1	2	False	3
chr21:35830844-35837363	chr21	35830844	35837363	6519	3	neutral	linear_nested	3	2	0	3	False	2
chr22:18976247-19009253	chr22	18976247	19009253	33006	3	loh	full_tree	3	1	1	2	False	0
chr22:19897998-19919235	chr22	19897998	19919235	21237	3	loh	sibling_only	3	0	2	1	False	1
chr22:29590823-29610430	chr22	29590823	29610430	19607	3	gain	linear_nested	3	2	0	2	False	3
chr22:39025819-39059398	chr22	39025819	39059398	33579	3	gain	full_tree	3	1	1	2	False	1
chr22:43733391-43741533	chr22	43733391	43741533	8142	3	gain	full_tree	3	1	1	2	False	2
chr7:104909085-105109479	chr7	104909085	105109479	200394	11	gain	sibling_only	11	0	1	1	False	0
chr14:51389554-51553831	chr14	51389554	51553831	164277	11	gain	linear_nested	6	1	0	2	False	0
chr18:76014870-76096385	chr18	76014870	76096385	81515	11	loss	linear_nested	4	1	0	2	False	2
chr20:50644988-50748197	chr20	50644988	50748197	103209	11	gain	sibling_only	6	0	1	1	False	0
chr1:199830845-200029019	chr1	199830845	200029019	198174	10	gain	linear_nested	7	1	0	2	False	0
chr4:178758554-178785960	chr4	178758554	178785960	27406	10	loh	linear_nested	2	1	0	2	False	1
chr15:97249412-97454223	chr15	97249412	97454223	204811	10	gain	linear_nested	8	1	0	2	False	0
chr2:240419606-240658367	chr2	240419606	240658367	238761	9	gain	linear_nested	8	1	0	2	False	0
chr5:5776385-5941537	chr5	5776385	5941537	165152	9	gain	linear_nested	9	1	0	2	False	0
chr5:7427798-7586600	chr5	7427798	7586600	158802	9	gain	sibling_only	8	0	1	1	False	0
chr8:81733317-81787436	chr8	81733317	81787436	54119	9	gain	sibling_only	3	0	1	1	False	0
chr1:215800222-215950488	chr1	215800222	215950488	150266	8	gain	sibling_only	6	0	1	1	False	0
chr2:26430884-26623795	chr2	26430884	26623795	192911	8	loh	sibling_only	7	0	1	1	False	0
chr2:198830435-198980526	chr2	198830435	198980526	150091	8	neutral	linear_nested	7	1	0	2	False	0
chr3:83570537-83765761	chr3	83570537	83765761	195224	8	gain	linear_nested	8	1	0	2	False	0
chr4:14941018-14984384	chr4	14941018	14984384	43366	8	loh	linear_nested	4	1	0	2	False	0
chr4:22855416-22990106	chr4	22855416	22990106	134690	8	loss	sibling_only	5	0	1	1	False	0
chr4:106929284-107017248	chr4	106929284	107017248	87964	8	gain	linear_nested	7	1	0	2	False	0
chr4:140043501-140181240	chr4	140043501	140181240	137739	8	gain	linear_nested	7	1	0	2	False	0
chr7:51524953-51637339	chr7	51524953	51637339	112386	8	gain	linear_nested	7	1	0	2	False	0
chr7:67411625-67574300	chr7	67411625	67574300	162675	8	gain	linear_nested	8	1	0	2	False	0
chr9:90580724-90691449	chr9	90580724	90691449	110725	8	gain	linear_nested	7	1	0	2	False	0
chr14:96090629-96286385	chr14	96090629	96286385	195756	8	gain	sibling_only	8	0	1	1	False	0
chr17:20176988-20312592	chr17	20176988	20312592	135604	8	loh	sibling_only	6	0	1	1	False	0
chr20:10888443-10990862	chr20	10888443	10990862	102419	8	gain	linear_nested	6	1	0	2	False	0
chr20:43938738-43989370	chr20	43938738	43989370	50632	8	gain	sibling_only	2	0	1	1	False	0
chr1:65681667-65764294	chr1	65681667	65764294	82627	7	loh	sibling_only	4	0	1	1	False	0
chr1:164145294-164307155	chr1	164145294	164307155	161861	7	gain	sibling_only	7	0	1	1	False	0
chr1:190064024-190175947	chr1	190064024	190175947	111923	7	gain	linear_nested	7	1	0	2	False	0
chr1:225294836-225437224	chr1	225294836	225437224	142388	7	gain	linear_nested	7	1	0	2	False	0
chr2:77967801-78047152	chr2	77967801	78047152	79351	7	loh	linear_nested	4	1	0	2	False	0
chr2:104385146-104536767	chr2	104385146	104536767	151621	7	loss	sibling_only	7	0	1	1	False	0
chr2:112282868-112293069	chr2	112282868	112293069	10201	7	loss	linear_nested	2	1	0	2	False	1
chr3:34091-199347	chr3	34091	199347	165256	7	gain	sibling_only	6	0	1	1	False	0
chr3:172324553-172446968	chr3	172324553	172446968	122415	7	gain	linear_nested	6	1	0	2	False	0
chr3:186381873-186514246	chr3	186381873	186514246	132373	7	gain	linear_nested	6	1	0	2	False	0
chr4:39687494-39761846	chr4	39687494	39761846	74352	7	neutral	linear_nested	5	1	0	2	False	0
chr4:44351156-44424553	chr4	44351156	44424553	73397	7	gain	linear_nested	7	1	0	2	False	0
chr5:1331836-1447799	chr5	1331836	1447799	115963	7	gain	linear_nested	7	1	0	2	False	0
chr6:101319782-101433346	chr6	101319782	101433346	113564	7	loh	linear_nested	4	1	0	2	False	0
chr6:139366056-139509508	chr6	139366056	139509508	143452	7	gain	linear_nested	5	1	0	2	False	0
chr7:51943525-52087777	chr7	51943525	52087777	144252	7	gain	linear_nested	6	1	0	2	False	0
chr7:84856589-84984892	chr7	84856589	84984892	128303	7	gain	sibling_only	7	0	1	1	False	0
