region	chrom	shape	cn	n_reads	n_pop	popA	popA_n	popB	popB_n	n_cpg_tested	n_sig_cpg	max_dbeta	min_q	corroborated	hp_control_eval	cis_hit	cis_explained
chr3:109471814-109475185	chr3	linear_nested	loh	32	2	AR	18	AA	13	254	0	0.984	0.2233	0	0	0	0
chr3:110696080-110710276	chr3	linear_nested	loh	19	2	AA	10	AR	9	133	0	0.97	0.9664	0	0	0	0
chr3:112150091-112156147	chr3	linear_nested	loh	29	2	RA	21	AA	8	130	0	0.959	0.2299	0	0	0	0
chr3:117993717-118010892	chr3	linear_nested	loh	12	2	RR	7	AA	4	121	0	0.969	0.3329	0	0	0	0
chr3:125828766-125834818	chr3	sibling_only	loh	31	2	RA	17	AR	14	607	0	0.979	0.2783	0	0	0	0
chr3:128944040-128967818	chr3	sibling_only	loh	13	2	RR	9	RA	3	0	0	0.0	1.0	0	0	0	0
chr3:129561740-129587014	chr3	sibling_only	loh	12	2	RR	6	RA	5	2	0	0.188	0.2	0	0	0	0
chr3:194538060-194552948	chr3	linear_nested	loh	24	2	AA	13	AR	10	478	0	0.776	0.4626	0	0	0	0
chr3:194821159-194852424	chr3	linear_nested	loh	10	2	AR	5	AA	4	0	0	0.0	1.0	0	0	0	0
chr3:197035423-197049240	chr3	linear_nested	loh	15	2	AA	8	RA	6	348	0	0.984	1.0	0	0	0	0
chr4:137686-139136	chr4	sibling_only	neutral	44	2	RA	39	RR	3	0	0	0.0	1.0	0	0	0	0
chr4:436127-442068	chr4	sibling_only	neutral	36	3	AR	15	RA	15	441	0	0.981	0.1524	0	0	0	0
chr4:1573231-1591236	chr4	sibling_only	loh	14	2	RA	7	RR	6	582	0	0.98	0.8407	0	0	0	0
chr4:4375851-4376925	chr4	linear_nested	loh	57	2	RR	51	AA	4	0	0	0.0	1.0	0	0	0	0
chr4:4492684-4497417	chr4	linear_nested	loh	30	3	AR	15	AA	12	289	0	0.856	0.9427	0	0	0	0
chr4:6586581-6592568	chr4	sibling_only	loh	24	2	RR	15	AR	9	622	0	0.979	0.5653	0	0	0	0
chr4:7512449-7528810	chr4	sibling_only	loh	13	2	RA	8	AR	4	1	0	0.421	0.3929	0	0	0	0
chr4:138076468-138095290	chr4	linear_nested	loh	12	2	RA	8	AA	3	0	0	0.0	1.0	0	0	0	0
chr4:140560981-140576635	chr4	linear_nested	loh	17	2	AA	12	AR	5	216	0	0.97	0.57	0	0	0	0
chr4:141126654-141143584	chr4	sibling_only	loh	10	2	RR	7	RA	3	1	0	0.05	0.5066	0	0	0	0
chr4:146316714-146331512	chr4	linear_nested	loh	12	2	AA	7	RA	4	55	0	0.618	1.0	0	0	0	0
chr4:148648480-148659248	chr4	linear_nested	loh	14	2	AA	10	RA	3	0	0	0.0	1.0	0	0	0	0
chr4:158569527-158579364	chr4	sibling_only	loh	14	2	RR	7	RA	7	184	0	0.963	0.9153	0	0	0	0
chr4:158996394-158997249	chr4	linear_nested	loh	39	2	RR	34	AA	4	72	0	0.967	0.2635	0	0	0	0
chr4:162016119-162016164	chr4	linear_nested	loh	42	3	AA	36	RR	3	0	0	0.0	1.0	0	0	0	0
chr4:162197743-162211216	chr4	linear_nested	loh	10	2	AA	6	AR	4	0	0	0.0	1.0	0	0	0	0
chr4:163628077-163642286	chr4	sibling_only	loh	12	2	AR	7	RR	4	97	0	0.975	0.5783	0	0	0	0
chr4:165508050-165513456	chr4	linear_nested	loh	24	2	AR	18	AA	6	196	0	0.572	0.8869	0	0	0	0
chr4:166360172-166377966	chr4	sibling_only	loh	14	2	AR	9	RR	4	63	0	0.979	0.3482	0	0	0	0
chr4:167248247-167258940	chr4	linear_nested	loh	14	2	RA	7	AA	5	85	0	0.967	0.3736	0	0	0	0
chr4:167655942-167659486	chr4	sibling_only	loh	41	2	AR	22	RA	16	212	9	0.988	0.0063	1	0	0	0
chr4:168604773-168615763	chr4	sibling_only	loh	14	2	RR	9	RA	3	100	0	0.709	0.7417	0	0	0	0
chr4:170829685-170834344	chr4	linear_nested	loh	43	2	AR	21	AA	20	270	3	0.982	0.0184	1	0	0	0
chr4:174418570-174443584	chr4	linear_nested	loh	7	2	RA	4	AA	3	0	0	0.0	1.0	0	0	0	0
chr4:174611590-174612498	chr4	sibling_only	loh	50	3	AR	32	RR	15	316	0	0.958	0.5951	0	0	0	0
chr4:176565327-176576527	chr4	linear_nested	loh	15	2	AA	7	AR	7	168	0	0.975	0.5746	0	0	0	0
chr4:185471145-185471147	chr4	linear_nested	loh	59	2	RR	49	AA	9	508	0	0.832	0.8796	0	0	0	0
chr5:54142642-54148960	chr5	sibling_only	loh	36	2	AR	18	RR	16	330	0	0.986	0.4291	0	0	0	0
chr5:54322492-54339070	chr5	sibling_only	loh	11	2	RA	6	RR	5	91	0	0.974	0.6126	0	0	0	0
chr5:58141764-58149434	chr5	linear_nested	loh	38	2	AA	20	AR	17	346	0	0.789	0.8137	0	0	0	0
chr5:61275448-61297054	chr5	sibling_only	loh	10	2	RA	5	AR	5	1	0	0.346	0.7	0	0	0	0
chr5:61730798-61740675	chr5	sibling_only	loh	24	2	AR	12	RA	10	345	0	0.95	0.3275	0	0	0	0
chr5:65304843-65317878	chr5	linear_nested	loh	15	2	RA	11	AA	3	0	0	0.0	1.0	0	0	0	0
chr5:67839121-67839638	chr5	linear_nested	loh	59	2	AR	41	AA	17	112	0	0.308	0.885	0	0	0	0
chr5:68001406-68005260	chr5	linear_nested	loh	45	2	AR	41	AA	3	0	0	0.0	1.0	0	0	0	0
chr5:68756926-68756955	chr5	linear_nested	loh	47	2	AA	43	AR	3	0	0	0.0	1.0	0	0	0	0
chr5:71469724-71470074	chr5	linear_nested	loh	51	2	AR	42	AA	7	312	0	0.467	1.0	0	0	0	0
chr5:74978122-74978123	chr5	linear_nested	loh	53	2	AA	46	RR	5	95	0	0.63	0.3475	0	0	0	0
chr5:75029008-75033677	chr5	sibling_only	loh	22	2	RA	15	RR	6	71	0	0.583	1.0	0	0	0	0
chr5:81022580-81045287	chr5	sibling_only	loh	9	2	AR	5	RR	3	0	0	0.0	1.0	0	0	0	0
chr5:83511229-83511230	chr5	linear_nested	loh	54	2	RR	29	AA	23	400	0	0.854	0.8748	0	0	0	0
chr5:83919584-83944390	chr5	linear_nested	loh	10	2	AA	6	AR	4	72	0	0.958	0.9629	0	0	0	0
chr5:87830078-87831563	chr5	linear_nested	loh	60	3	AR	33	AA	23	289	5	0.966	0.0357	1	0	0	0
chr5:88350542-88351330	chr5	linear_nested	loh	46	2	AR	29	AA	16	251	0	0.965	0.0891	0	0	0	0
chr5:89649339-89655991	chr5	linear_nested	loh	31	2	AA	16	RA	14	225	0	0.784	0.4341	0	0	0	0
chr5:90234134-90239693	chr5	linear_nested	loh	39	2	RA	19	AA	19	296	0	0.792	0.6147	0	0	0	0
chr5:95434531-95438094	chr5	linear_nested	loh	37	2	RA	20	AA	15	276	0	0.98	0.5582	0	0	0	0
chr5:96538609-96540183	chr5	linear_nested	loh	48	2	AA	33	AR	14	465	0	0.944	0.6674	0	0	0	0
chr5:99288426-99292130	chr5	linear_nested	loh	46	2	RA	25	AA	20	308	1	0.965	0.0145	1	0	0	0
chr5:102020593-102036323	chr5	linear_nested	loh	12	2	AR	7	AA	5	54	0	0.979	0.3838	0	0	0	0
chr5:102090218-102090219	chr5	linear_nested	loh	51	2	RR	29	AA	21	259	0	0.957	0.11	0	0	0	0
chr5:104101438-104111871	chr5	linear_nested	loh	18	2	AA	11	AR	6	118	0	0.897	0.735	0	0	0	0
chr5:104389322-104389375	chr5	sibling_only	loh	44	2	RA	39	AR	4	0	0	0.0	1.0	0	0	0	0
chr5:105074726-105080999	chr5	linear_nested	loh	34	2	AR	18	AA	16	262	0	0.961	0.9041	0	0	0	0
chr5:105153577-105155943	chr5	linear_nested	loh	41	2	AA	25	RR	15	312	0	0.767	0.5914	0	0	0	0
chr5:106536814-106557886	chr5	linear_nested	loh	10	2	AR	7	AA	3	0	0	0.0	1.0	0	0	0	0
chr5:112134505-112142931	chr5	sibling_only	loh	30	2	RA	18	AR	10	228	0	0.984	0.5533	0	0	0	0
chr5:113137184-113156896	chr5	linear_nested	loh	13	2	RA	8	AA	5	0	0	0.0	1.0	0	0	0	0
chr5:114632116-114646617	chr5	sibling_only	loh	22	3	RA	11	AR	6	158	0	0.982	0.75	0	0	0	0
chr5:115536069-115549090	chr5	linear_nested	loh	18	2	AA	12	RA	5	168	0	0.829	0.7439	0	0	0	0
chr5:115787162-115797923	chr5	linear_nested	loh	31	2	AA	15	RA	14	291	0	0.975	0.1823	0	0	0	0
chr5:116101979-116102763	chr5	linear_nested	loh	39	2	RR	34	AA	4	0	0	0.0	1.0	0	0	0	0
chr5:119123804-119136536	chr5	sibling_only	loh	16	2	AR	8	RA	8	148	0	0.325	1.0	0	0	0	0
chr5:119531597-119555082	chr5	sibling_only	loh	12	2	RR	7	RA	4	151	0	0.976	0.8754	0	0	0	0
chr5:121858284-121870939	chr5	sibling_only	loh	22	3	RR	10	RA	9	262	0	0.791	0.868	0	0	0	0
chr5:122192659-122204608	chr5	linear_nested	loh	15	2	AR	9	AA	6	157	0	0.986	0.6899	0	0	0	0
chr5:124889702-124910960	chr5	linear_nested	loh	9	2	AA	6	AR	3	240	0	0.984	1.0	0	0	0	0
chr5:125051879-125078092	chr5	linear_nested	loh	9	2	AA	5	RA	4	183	0	0.733	0.8319	0	0	0	0
chr5:131805021-131823262	chr5	linear_nested	loh	16	2	AA	8	AR	8	379	0	0.97	0.9024	0	0	0	0
chr5:133242838-133259575	chr5	sibling_only	loh	13	2	AR	7	RA	6	197	0	0.965	0.53	0	0	0	0
chr5:133900666-133920288	chr5	sibling_only	loh	9	2	AR	5	RR	4	0	0	0.0	1.0	0	0	0	0
chr5:138402289-138421367	chr5	linear_nested	loh	12	2	AA	7	AR	5	308	0	0.613	0.4515	0	0	0	0
chr5:156360505-156363216	chr5	sibling_only	loh	66	3	AR	23	RA	23	345	6	0.975	0.0413	1	0	0	0
chr5:159736550-159748702	chr5	linear_nested	loh	42	2	AA	25	RR	16	476	0	0.686	0.2396	0	0	0	0
chr5:160193805-160199483	chr5	linear_nested	loh	43	2	RR	29	AA	13	935	0	0.898	0.0677	0	0	0	0
chr5:160354994-160364417	chr5	sibling_only	loh	36	3	RA	20	AR	12	968	0	0.962	0.7878	0	0	0	0
chr5:160736116-160751951	chr5	sibling_only	loh	15	3	RR	7	AR	5	0	0	0.0	1.0	0	0	0	0
chr5:160932863-160952474	chr5	sibling_only	loh	17	2	AR	8	RA	8	217	0	0.946	0.3131	0	0	0	0
chr5:161193846-161207753	chr5	linear_nested	loh	32	2	AA	20	RR	11	309	0	0.978	0.1017	0	0	0	0
chr5:162604952-162612474	chr5	linear_nested	loh	36	2	RA	26	AA	9	141	0	0.889	0.2981	0	0	0	0
chr5:163367491-163391658	chr5	sibling_only	loh	9	2	RR	4	RA	3	0	0	0.0	1.0	0	0	0	0
chr5:164690651-164700128	chr5	sibling_only	loh	25	3	RR	9	AR	8	112	0	0.952	0.2956	0	0	0	0
chr5:168538994-168547578	chr5	sibling_only	loh	41	2	RA	32	AR	8	509	0	0.949	0.5493	0	0	0	0
chr5:172813089-172825155	chr5	linear_nested	loh	36	2	RR	20	AA	15	1047	0	0.976	0.3777	0	0	0	0
chr5:173280082-173296936	chr5	linear_nested	loh	16	3	AA	6	RA	6	353	0	0.978	0.9315	0	0	0	0
chr5:173487654-173489918	chr5	sibling_only	loh	64	3	RA	24	RR	21	513	0	0.973	0.0978	0	0	0	0
chr5:174146452-174163124	chr5	linear_nested	loh	20	2	RA	14	AA	5	150	0	0.899	0.5864	0	0	0	0
chr5:174582648-174589674	chr5	sibling_only	loh	30	3	RA	15	AR	8	348	0	0.961	0.6021	0	0	0	0
chr5:175820243-175838837	chr5	sibling_only	loh	19	2	RR	10	RA	7	619	0	0.964	0.4814	0	0	0	0
chr5:176844944-176849796	chr5	linear_nested	loh	44	2	AA	33	RR	10	944	0	0.966	0.2178	0	0	0	0
chr5:177566617-177583396	chr5	sibling_only	loh	24	2	RA	17	AR	6	500	0	0.973	0.2787	0	0	0	0
chr5:178156914-178180434	chr5	sibling_only	loh	8	2	AR	4	RA	3	455	0	0.975	0.6894	0	0	0	0
chr5:178650247-178673985	chr5	sibling_only	loh	11	2	RR	7	AR	3	0	0	0.0	1.0	0	0	0	0
chr5:179820845-179821847	chr5	sibling_only	loh	73	3	RR	25	RA	24	1701	0	0.944	0.743	0	0	0	0
chr5:181141570-181148146	chr5	sibling_only	loh	39	3	RR	16	RA	13	704	0	0.98	0.2968	0	0	0	0
chr6:64213057-64225139	chr6	linear_nested	neutral	17	2	RR	10	AA	6	82	0	0.98	0.2141	0	0	0	0
chr6:66616171-66641233	chr6	sibling_only	neutral	8	2	RR	4	RA	3	119	0	0.984	0.4103	0	0	0	0
chr6:98540124-98548127	chr6	sibling_only	loh	33	3	RA	15	AR	10	165	0	0.972	0.1181	0	0	0	0
chr6:106112590-106127363	chr6	linear_nested	loh	25	2	RA	16	AA	8	608	0	0.962	0.7553	0	0	0	0
chr6:110537967-110547635	chr6	sibling_only	loh	54	3	RR	22	RA	16	414	0	0.928	0.4197	0	0	0	0
chr6:110664010-110671803	chr6	linear_nested	loh	40	2	RA	34	AA	6	86	0	0.275	0.7251	0	0	0	0
chr6:112448922-112453616	chr6	linear_nested	loh	50	2	RA	43	AA	6	91	0	0.721	0.7563	0	0	0	0
chr6:112825894-112839871	chr6	sibling_only	loh	30	3	AR	11	RR	10	218	0	0.795	1.0	0	0	0	0
chr6:113024475-113031430	chr6	linear_nested	loh	32	2	RA	23	AA	9	104	0	0.525	0.7259	0	0	0	0
chr6:113656066-113656484	chr6	linear_nested	loh	67	3	RA	45	AA	18	423	0	0.892	0.2539	0	0	0	0
chr6:114251352-114279531	chr6	linear_nested	loh	9	2	AR	4	AA	3	0	0	0.0	1.0	0	0	0	0
chr6:165516686-165522573	chr6	sibling_only	loh	21	2	AR	12	RA	8	202	0	0.824	0.8407	0	0	0	0
chr7:21248382-21272721	chr7	sibling_only	loh	8	2	RA	5	AR	3	0	0	0.0	1.0	0	0	0	0
chr7:22583038-22586017	chr7	linear_nested	loh	43	3	AA	22	RA	17	378	0	0.976	0.3489	0	0	0	0
chr8:1337508-1338808	chr8	sibling_only	loh	51	2	RR	42	RA	8	394	0	0.767	0.6979	0	0	0	0
chr8:1517909-1541908	chr8	linear_nested	loh	10	2	AA	6	RA	3	0	0	0.0	1.0	0	0	0	0
chr8:3631242-3643201	chr8	sibling_only	loh	15	2	RR	12	RA	3	0	0	0.0	1.0	0	0	0	0
chr8:4847314-4852623	chr8	linear_nested	loh	28	2	AA	15	AR	12	455	0	0.985	0.1836	0	0	0	0
chr8:5123470-5123472	chr8	linear_nested	loh	50	2	RR	40	AA	10	286	0	0.781	0.2628	0	0	0	0
chr8:5274663-5296404	chr8	linear_nested	loh	9	2	AA	5	AR	3	0	0	0.0	1.0	0	0	0	0
chr8:6226483-6226905	chr8	linear_nested	loh	54	3	RR	29	AA	19	582	10	0.966	0.0167	1	0	0	0
chr8:11043222-11043526	chr8	linear_nested	loh	42	2	RA	28	AA	13	529	0	0.723	0.9532	0	0	0	0
chr8:13374094-13383810	chr8	linear_nested	loh	19	2	AA	9	AR	9	418	0	0.959	0.9952	0	0	0	0
chr8:14788337-14790950	chr8	linear_nested	loh	36	2	AR	25	AA	9	221	0	0.955	0.6244	0	0	0	0
chr8:17624281-17641183	chr8	linear_nested	loh	11	2	AR	7	AA	4	189	0	0.976	0.84	0	0	0	0
chr8:17729196-17741357	chr8	linear_nested	loh	16	2	AA	10	RA	4	177	0	0.859	1.0	0	0	0	0
chr8:18475254-18476378	chr8	sibling_only	loh	54	3	RA	29	AR	20	518	15	0.977	0.0181	1	0	0	0
chr8:21223781-21229698	chr8	linear_nested	loh	25	2	AA	16	RR	8	289	0	0.943	0.5748	0	0	0	0
chr8:26682509-26683264	chr8	linear_nested	loh	46	2	AR	28	AA	18	486	0	0.967	0.0826	0	0	0	0
chr8:29829811-29851209	chr8	linear_nested	loh	15	2	AA	11	AR	3	0	0	0.0	1.0	0	0	0	0
chr8:31635092-31653861	chr8	sibling_only	loh	11	2	RA	8	AR	3	0	0	0.0	1.0	0	0	0	0
chr8:32391104-32397575	chr8	linear_nested	loh	33	2	RA	20	AA	11	284	0	0.96	0.3664	0	0	0	0
chr8:40628597-40648496	chr8	linear_nested	loh	12	2	RA	9	AA	3	0	0	0.0	1.0	0	0	0	0
chr8:41611677-41631790	chr8	sibling_only	loh	10	2	RR	7	AR	3	0	0	0.0	1.0	0	0	0	0
chr8:42229577-42245356	chr8	linear_nested	loh	11	2	AA	6	AR	5	167	0	0.946	0.9907	0	0	0	0
chr8:56112005-56125555	chr8	linear_nested	loh	21	3	RR	11	AA	6	493	0	0.99	0.549	0	0	0	0
chr8:56192765-56200061	chr8	linear_nested	loh	43	2	RR	30	AA	12	648	0	0.86	0.3955	0	0	0	0
chr8:56629236-56644762	chr8	sibling_only	loh	20	3	RR	8	RA	8	185	0	0.818	0.7286	0	0	0	0
chr8:59310456-59326334	chr8	sibling_only	loh	15	3	RR	5	RA	5	0	0	0.0	1.0	0	0	0	0
chr8:63236833-63246740	chr8	linear_nested	loh	34	3	RR	12	RA	12	284	0	0.975	0.4628	0	0	0	0
chr8:89306858-89330223	chr8	linear_nested	loh	16	2	AR	9	AA	7	128	0	0.556	1.0	0	0	0	0
chr8:92377994-92379554	chr8	sibling_only	loh	80	3	RR	44	AR	29	722	5	0.975	0.0001	1	0	0	0
chr8:94620688-94627688	chr8	sibling_only	loh	46	3	RR	19	AR	16	840	0	0.931	0.8227	0	0	0	0
chr8:98951689-98974216	chr8	sibling_only	loh	9	2	RR	6	AR	3	0	0	0.0	1.0	0	0	0	0
chr8:100198593-100215194	chr8	sibling_only	loh	12	3	RR	6	RA	3	0	0	0.0	1.0	0	0	0	0
chr8:101027250-101037148	chr8	sibling_only	loh	42	3	RR	18	RA	12	554	0	0.964	1.0	0	0	0	0
chr9:15575399-15585629	chr9	sibling_only	loh	23	2	RR	13	RA	8	324	0	0.944	1.0	0	0	0	0
chr9:19820131-19832591	chr9	sibling_only	loh	27	2	RA	16	AR	10	333	0	0.954	0.3384	0	0	0	0
chr9:20150471-20154913	chr9	sibling_only	loh	30	2	RA	16	AR	13	320	0	0.965	0.373	0	0	0	0
chr9:20396185-20405605	chr9	linear_nested	loh	20	2	RA	11	AA	9	169	0	0.957	0.593	0	0	0	0
chr9:24356336-24377761	chr9	linear_nested	loh	11	2	RA	6	AA	5	131	0	0.982	0.6265	0	0	0	0
chr9:26744813-26760297	chr9	linear_nested	loh	11	2	AA	6	AR	5	82	0	0.888	0.6972	0	0	0	0
chr9:28467775-28481137	chr9	linear_nested	loh	19	2	AR	11	AA	8	241	0	0.95	1.0	0	0	0	0
chr9:29386359-29398141	chr9	sibling_only	loh	29	2	RR	19	AR	9	294	0	0.893	0.6499	0	0	0	0
chr9:35495284-35512912	chr9	sibling_only	loh	11	2	RA	7	RR	4	190	0	0.914	1.0	0	0	0	0
chr9:36801939-36807140	chr9	sibling_only	loh	33	3	RA	16	AR	14	403	0	0.981	0.5373	0	0	0	0
chr9:114492283-114510082	chr9	linear_nested	loh	18	2	AR	14	AA	4	1	0	0.02	0.8528	0	0	0	0
chr9:118471674-118480901	chr9	linear_nested	loh	25	2	AA	13	AR	11	250	0	0.844	0.5952	0	0	0	0
chr9:120372986-120372993	chr9	linear_nested	loh	60	2	RR	52	AA	7	225	0	0.485	0.8036	0	0	0	0
chr9:124153717-124163156	chr9	linear_nested	loh	32	2	AA	18	AR	13	628	0	0.948	0.1316	0	0	0	0
chr9:128009808-128026805	chr9	sibling_only	loh	17	2	RR	10	AR	7	350	0	0.929	1.0	0	0	0	0
chr10:3528212-3533305	chr10	linear_nested	loh	31	2	AR	16	AA	14	648	0	0.873	1.0	0	0	0	0
chr10:6216956-6227914	chr10	linear_nested	loh	24	2	AA	13	AR	10	1122	0	0.957	0.8841	0	0	0	0
chr10:10555424-10564761	chr10	linear_nested	loh	14	2	AR	7	AA	6	132	0	0.97	0.419	0	0	0	0
chr10:13005082-13027428	chr10	linear_nested	loh	16	2	RA	12	AA	3	0	0	0.0	1.0	0	0	0	0
chr10:15607106-15613056	chr10	sibling_only	loh	40	2	RA	20	AR	19	570	0	0.98	0.1195	0	0	0	0
chr10:19017296-19033680	chr10	linear_nested	loh	11	2	RA	7	AA	4	0	0	0.0	1.0	0	0	0	0
chr10:21636003-21647579	chr10	sibling_only	loh	27	2	RA	16	AR	9	355	0	0.95	0.9512	0	0	0	0
chr10:26983769-26992507	chr10	linear_nested	loh	29	3	AR	21	AA	5	109	0	0.596	1.0	0	0	0	0
chr10:28910188-28917865	chr10	linear_nested	loh	27	2	AA	13	AR	13	487	0	0.926	0.9799	0	0	0	0
chr10:31532875-31536696	chr10	linear_nested	loh	38	2	RR	20	AA	17	426	0	0.971	0.1044	0	0	0	0
chr10:65226050-65231844	chr10	linear_nested	loh	21	2	AA	11	RR	9	221	0	0.863	1.0	0	0	0	0
chr10:69191920-69191921	chr10	linear_nested	loh	64	2	AA	33	RR	30	874	0	0.898	0.8861	0	0	0	0
chr10:69308253-69327127	chr10	linear_nested	loh	9	2	RA	5	AA	4	343	0	0.762	0.8469	0	0	0	0
chr10:74454002-74473217	chr10	sibling_only	loh	19	2	RR	10	AR	7	232	0	0.643	0.9045	0	0	0	0
chr10:75335062-75344238	chr10	linear_nested	loh	26	3	AR	12	AA	11	573	0	0.971	0.6549	0	0	0	0
chr10:75992384-76001460	chr10	linear_nested	loh	26	2	AR	14	AA	12	492	0	0.974	0.3462	0	0	0	0
chr10:78535805-78536184	chr10	sibling_only	loh	53	3	RR	28	AR	22	519	0	0.968	0.2832	0	0	0	0
chr10:78930065-78932874	chr10	linear_nested	loh	47	2	RA	30	AA	16	574	0	0.845	0.1728	0	0	0	0
chr10:80651138-80658308	chr10	linear_nested	loh	26	2	AR	18	AA	8	205	0	0.959	0.6245	0	0	0	0
chr10:88989478-88994803	chr10	linear_nested	loh	31	2	RA	18	AA	12	437	0	0.976	0.154	0	0	0	0
chr10:89623610-89635145	chr10	linear_nested	loh	21	2	AR	17	AA	3	0	0	0.0	1.0	0	0	0	0
chr10:92538780-92549895	chr10	sibling_only	loh	25	3	RR	14	RA	7	272	0	0.885	0.4716	0	0	0	0
chr10:94078889-94084464	chr10	linear_nested	loh	30	2	RA	14	AA	14	236	0	0.976	0.4235	0	0	0	0
chr10:94482092-94504260	chr10	linear_nested	loh	12	2	AA	8	AR	3	151	0	0.544	1.0	0	0	0	0
chr10:96337120-96353123	chr10	linear_nested	loh	12	2	AR	8	AA	3	0	0	0.0	1.0	0	0	0	0
chr10:99484522-99484523	chr10	linear_nested	loh	47	2	RR	25	AA	21	487	10	0.973	0.0474	1	0	0	0
chr10:99967582-99967609	chr10	linear_nested	loh	53	2	AA	50	RA	3	46	0	0.344	0.9921	0	0	0	0
chr10:102021876-102022152	chr10	linear_nested	loh	67	2	AA	61	RA	5	173	0	0.566	0.7592	0	0	0	0
chr10:104197252-104212454	chr10	linear_nested	loh	20	2	AR	10	AA	10	436	0	0.961	0.7642	0	0	0	0
chr10:107659640-107674121	chr10	linear_nested	loh	16	2	RA	9	AA	7	116	0	0.829	0.3523	0	0	0	0
chr10:108439944-108471050	chr10	linear_nested	loh	6	2	AA	3	RA	3	0	0	0.0	1.0	0	0	0	0
chr10:109474486-109489719	chr10	linear_nested	loh	8	2	AR	5	AA	3	30	0	0.625	1.0	0	0	0	0
chr10:115856570-115862347	chr10	sibling_only	loh	31	2	RA	16	AR	13	334	0	0.986	0.2456	0	0	0	0
chr10:131608446-131610674	chr10	sibling_only	loh	69	3	RA	50	AR	10	728	0	0.984	0.0652	0	0	0	0
chr11:3148978-3169060	chr11	linear_nested	loh	9	2	RR	4	AA	3	0	0	0.0	1.0	0	0	0	0
chr11:7534907-7539006	chr11	linear_nested	loh	23	2	RA	20	AA	3	99	0	0.749	0.9412	0	0	0	0
chr11:9130416-9135540	chr11	sibling_only	loh	34	3	AR	17	RA	11	309	0	0.962	1.0	0	0	0	0
chr11:9705609-9716560	chr11	linear_nested	loh	25	2	AA	14	AR	11	376	0	0.725	1.0	0	0	0	0
chr11:11630648-11633826	chr11	linear_nested	loh	50	3	RA	38	AA	9	206	0	0.592	0.8305	0	0	0	0
chr11:12448023-12448024	chr11	linear_nested	loh	61	2	RR	37	AA	23	512	0	0.941	0.133	0	0	0	0
chr11:22025965-22031966	chr11	linear_nested	loh	32	2	AR	21	AA	10	334	0	0.985	0.2631	0	0	0	0
chr11:23678501-23686191	chr11	linear_nested	loh	29	2	RA	16	AA	13	265	0	0.862	0.1362	0	0	0	0
chr11:29698560-29700709	chr11	sibling_only	loh	43	2	RA	26	AR	16	279	1	0.954	0.0168	1	0	0	0
chr11:31127523-31136105	chr11	linear_nested	loh	24	2	AA	15	AR	9	254	0	0.97	0.247	0	0	0	0
chr11:32196113-32197253	chr11	sibling_only	loh	35	2	AR	19	RA	16	407	0	0.982	0.0971	0	0	0	0
chr11:32624700-32632656	chr11	linear_nested	loh	33	2	RA	19	AA	14	315	0	0.984	0.11	0	0	0	0
chr11:34276889-34293300	chr11	linear_nested	loh	19	2	AR	10	AA	9	625	0	0.946	0.9838	0	0	0	0
chr11:36879769-36879771	chr11	linear_nested	loh	42	2	RR	28	AA	13	190	0	0.972	0.0645	0	0	0	0
chr11:38313239-38315451	chr11	linear_nested	loh	51	3	AA	29	AR	19	308	0	0.947	0.3086	0	0	0	0
chr11:39663810-39677940	chr11	linear_nested	loh	16	2	AR	11	AA	5	167	0	0.972	0.6816	0	0	0	0
chr11:42767750-42772773	chr11	linear_nested	loh	29	2	AR	15	AA	13	140	0	0.724	0.0782	0	0	0	0
chr11:44970906-44973110	chr11	linear_nested	loh	45	2	AR	24	AA	19	936	0	0.965	0.0964	0	0	0	0
chr11:46388259-46388260	chr11	linear_nested	loh	63	2	AA	32	RR	30	2820	45	0.943	0.0056	1	0	0	0
chr11:72956918-72979333	chr11	linear_nested	loh	12	2	RA	9	AA	3	0	0	0.0	1.0	0	0	0	0
chr11:80864081-80874286	chr11	linear_nested	loh	11	2	AA	6	RA	5	71	0	0.968	0.7859	0	0	0	0
chr11:81634387-81639585	chr11	linear_nested	loh	26	2	AA	16	RR	9	205	0	0.983	0.2005	0	0	0	0
chr11:85526099-85549969	chr11	sibling_only	loh	12	2	AR	9	RA	3	0	0	0.0	1.0	0	0	0	0
chr11:87967336-87967655	chr11	linear_nested	loh	37	3	RR	22	AA	12	130	0	0.973	0.2068	0	0	0	0
chr11:90188107-90198888	chr11	linear_nested	loh	21	2	AR	14	AA	6	117	0	0.425	1.0	0	0	0	0
chr11:90319120-90341342	chr11	linear_nested	loh	9	2	AA	5	RA	4	0	0	0.0	1.0	0	0	0	0
chr11:91139191-91142579	chr11	sibling_only	loh	38	2	RA	21	AR	17	266	0	0.98	0.0531	0	0	0	0
chr11:94192615-94196924	chr11	linear_nested	loh	37	2	AA	21	AR	16	368	0	0.98	0.0526	0	0	0	0
chr11:95958905-95966822	chr11	linear_nested	loh	40	2	RA	36	AA	3	143	0	0.681	0.8741	0	0	0	0
chr11:98204470-98221374	chr11	linear_nested	loh	12	2	AA	6	RR	5	2	0	0.281	0.4571	0	0	0	0
chr11:98526471-98540278	chr11	sibling_only	loh	23	2	RR	12	RA	11	342	0	0.965	0.8611	0	0	0	0
chr11:101052740-101063757	chr11	sibling_only	loh	20	2	RA	13	AR	5	41	0	0.833	0.781	0	0	0	0
chr11:107851451-107854384	chr11	linear_nested	loh	33	2	AA	18	AR	15	721	0	0.922	1.0	0	0	0	0
